"","...1","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"1033",1066,"Skoda Laura Elegance MT","Jaipur",2010,82407,"Diesel","Manual","First",17.5,1896,106,5,11.665,4.25
"1034",1067,"Hyundai Grand i10 Sportz","Kolkata",2013,29000,"Petrol","Manual","First",18.9,1197,82,5,11.665,3.2
"1035",1069,"Maruti Swift Dzire VDI","Kolkata",2014,45000,"Diesel","Manual","First",23.4,1248,74,5,11.665,3.85
"1036",1070,"Hyundai i20 Asta 1.4 CRDi (Diesel)","Kochi",2010,93401,"Diesel","Manual","First",23,1396,90,5,11.665,3.48
"1037",1071,"Ford Figo 2015-2019 1.5D Trend MT","Hyderabad",2017,95802,"Diesel","Manual","Second",25.83,1498,99,5,11.665,4.55
"1038",1072,"Maruti Ertiga VDI","Pune",2016,130000,"Diesel","Manual","First",25.47,1248,88.5,7,11.27,7
"1039",1073,"Maruti Ertiga ZDI","Ahmedabad",2013,67443,"Diesel","Manual","First",20.77,1248,88.8,7,11.665,5.75
"1040",1074,"Honda City 1.5 V AT Sunroof","Kochi",2016,47681,"Petrol","Automatic","First",16.8,1497,116.3,5,11.665,8.73
"1041",1075,"Maruti Alto LXi BSIII","Hyderabad",2009,35000,"Petrol","Manual","First",19.7,796,46.3,5,11.665,1.7
"1042",1076,"Ford Endeavour 3.2 Titanium AT 4X4","Hyderabad",2016,68000,"Diesel","Automatic","First",10.91,3198,197,7,11.665,29.5
"1043",1077,"Maruti Vitara Brezza ZDi Plus","Kochi",2019,34688,"Diesel","Manual","First",24.3,1248,88.5,5,11.2,10.49
"1044",1078,"Porsche Boxster S tiptronic","Kolkata",2015,10512,"Petrol","Automatic","First",8.6,2706,265,2,11.665,64
"1045",1079,"Maruti Swift ZDi","Pune",2016,58000,"Diesel","Manual","First",22.9,1248,74,5,11.665,7.55
"1046",1080,"Tata Zest Revotron 1.2 XT","Mumbai",2014,40000,"Petrol","Manual","First",17.57,1193,88.7,5,8.56,3.95
"1047",1081,"Hyundai i20 1.2 Sportz Option","Bangalore",2010,61000,"Petrol","Manual","Fourth & Above",17,1197,80,5,11.665,3.25
"1048",1082,"Skoda Fabia 1.4 TDI Active","Mumbai",2009,86000,"Diesel","Manual","First",19.4,1422,70,5,11.665,2.75
"1049",1083,"Toyota Corolla Altis D-4D J","Kolkata",2015,45000,"Diesel","Manual","First",21.43,1364,87.2,5,11.665,7.35
"1050",1084,"Volkswagen Ameo 1.2 MPI Comfortline","Ahmedabad",2017,55000,"Petrol","Manual","First",17,1198,73.75,5,11.665,4.7
"1051",1085,"Hyundai Creta 1.6 VTVT S","Kochi",2016,36855,"Petrol","Manual","Second",15.29,1591,121.3,5,11.665,8.77
"1052",1086,"Hyundai i10 Magna 1.2","Kochi",2013,46821,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,3.42
"1053",1087,"Chevrolet Beat LS","Kolkata",2015,120000,"Petrol","Manual","First",18.6,1199,76.8,5,11.665,2.5
"1054",1088,"Jaguar XF 3.0 Litre S Premium Luxury","Kolkata",2012,29000,"Diesel","Automatic","First",14.74,2993,270.9,5,11.665,20
"1055",1089,"Nissan Terrano XL","Mumbai",2014,40000,"Petrol","Manual","First",13.24,1598,102.5,5,11.665,5.25
"1056",1090,"Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Delhi",2013,60000,"Diesel","Automatic","Second",15.73,1968,174.33,5,11.665,14.5
"1057",1091,"Hyundai i10 Asta AT","Mumbai",2011,64984,"Petrol","Automatic","First",16.95,1197,78.9,5,11.665,3.45
"1058",1092,"Maruti Alto K10 VXI AGS","Pune",2015,73204,"Petrol","Automatic","First",24.07,998,67.1,5,11.665,3.3
"1059",1093,"Audi Q7 4.2 TDI Quattro Technology","Bangalore",2014,50000,"Diesel","Automatic","First",11.33,4134,335.2,7,11.665,51
"1060",1094,"Maruti Vitara Brezza VDi","Kolkata",2017,35000,"Diesel","Manual","First",24.3,1248,88.5,5,9.46,6.5
"1061",1095,"Hyundai EON D Lite Plus","Hyderabad",2013,17729,"Petrol","Manual","First",21.1,814,55.2,5,11.665,3.65
"1062",1096,"Mahindra XUV300 W8 Diesel","Chennai",2012,97000,"Diesel","Manual","First",20,1497,115,5,12.79,7.25
"1063",1097,"Hyundai Verna CRDi 1.6 SX Option","Kochi",2014,89614,"Diesel","Manual","First",22,1582,126.2,5,15.57,6.01
"1064",1098,"Maruti Wagon R VXI","Kolkata",2015,14000,"Petrol","Manual","First",18.9,998,67.1,5,11.665,2.8
"1065",1099,"Hyundai i20 Sportz Option","Chennai",2012,50000,"Petrol","Manual","First",17,1197,80,5,11.665,4
"1066",1100,"Honda City i VTEC V","Delhi",2014,62505,"Petrol","Manual","First",17.4,1497,117.3,5,11.665,5.95
"1067",1101,"Toyota Innova 2.5 V Diesel 7-seater","Chennai",2011,248000,"Diesel","Manual","Second",12.8,2494,102,7,11.665,9.2
"1068",1102,"Hyundai Verna CRDi SX","Pune",2012,94900,"Diesel","Manual","First",16.8,1493,110,5,11.665,5.35
"1069",1103,"Tata Hexa XT","Delhi",2017,55000,"Diesel","Manual","First",17.6,2179,153.86,7,19.86,12
"1070",1104,"Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2015,53735,"Diesel","Automatic","Second",12.07,2967,241.4,7,11.665,38.94
"1071",1105,"Maruti Wagon R VXI","Coimbatore",2008,53934,"Petrol","Manual","Second",18.9,998,67.1,5,11.665,2.69
"1072",1106,"BMW 5 Series 2013-2017 525d Luxury Line","Bangalore",2013,58500,"Diesel","Automatic","Second",17.09,1995,218,5,11.665,27.5
"1073",1107,"Honda Amaze EX i-Vtech","Kolkata",2014,48000,"Petrol","Manual","First",18,1198,86.7,5,11.665,2.75
"1074",1108,"Maruti Alto 800 2016-2019 LXI","Mumbai",2016,24000,"Petrol","Manual","First",24.7,796,47.3,5,11.665,2.8
"1075",1109,"Hyundai Verna 1.6 SX VTVT","Mumbai",2016,52001,"Petrol","Manual","First",17.01,1591,121.3,5,11.665,6.45
"1076",1110,"Tata Tiago 1.2 Revotron XZ","Coimbatore",2018,9565,"Petrol","Manual","First",23.84,1199,84,5,6.59,5.88
"1077",1111,"Maruti Swift LXI","Pune",2013,32953,"Petrol","Manual","First",18.6,1197,85.8,5,11.665,4.65
"1078",1112,"Hyundai EON Era","Jaipur",2014,18000,"Petrol","Manual","First",21.1,814,55.2,5,11.665,2.5
"1079",1113,"Mercedes-Benz E-Class E 220 d","Kochi",2018,20446,"Petrol","Automatic","First",12.6,1950,191.34,5,86.97,51.35
"1080",1114,"Hyundai i20 Magna 1.4 CRDi","Hyderabad",2016,33016,"Diesel","Manual","First",22.54,1396,88.73,5,11.665,6.85
"1081",1115,"Toyota Etios VD","Chennai",2012,48000,"Diesel","Manual","First",23.59,1364,67.05,5,11.665,5.25
"1082",1116,"Toyota Corolla Altis Diesel D4DG","Coimbatore",2014,72022,"Diesel","Manual","First",21.43,1364,87.2,5,11.665,9.23
"1083",1117,"Mini Cooper 5 DOOR D","Ahmedabad",2014,34000,"Diesel","Automatic","First",20.7,1496,113.98,5,42.12,22
"1084",1118,"Volkswagen Polo 1.5 TDI Highline","Hyderabad",2014,69000,"Diesel","Manual","First",20.14,1498,88.8,5,11.665,5.19
"1085",1119,"Skoda Superb Elegance 1.8 TSI AT","Pune",2009,108000,"Petrol","Automatic","First",13.7,1798,157.75,5,11.665,4.35
"1086",1120,"Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde","Hyderabad",2013,34700,"Diesel","Automatic","First",10,2148,170,5,11.665,24.5
"1087",1121,"Maruti Swift VDi BSIII W/ ABS","Pune",2015,79000,"Diesel","Manual","First",17.8,1248,75,5,11.665,5.75
"1088",1122,"Honda City i VTEC CVT VX","Kochi",2016,58197,"Petrol","Automatic","First",18,1497,117.3,5,11.665,9.19
"1089",1123,"BMW 7 Series 2007-2012 740Li","Pune",2008,66000,"Petrol","Automatic","Second",8.45,2979,321,5,11.665,10.75
"1090",1124,"Hyundai i10 Magna AT","Bangalore",2009,60000,"Petrol","Automatic","First",19.2,1197,80,5,11.665,2.99
"1091",1125,"Maruti Swift Dzire VDI","Kolkata",2014,57000,"Diesel","Manual","First",26.59,1248,74,5,11.665,3.89
"1092",1126,"Honda City i DTec VX","Coimbatore",2018,45555,"Diesel","Manual","First",26,1498,98.6,5,11.665,11.73
"1093",1127,"Maruti Omni 8 Seater BSIV","Coimbatore",2016,55137,"Petrol","Manual","First",14,796,35,5,11.665,3.11
"1094",1128,"Skoda Superb 2009-2014 Elegance 2.0 TDI MT","Jaipur",2014,93325,"Diesel","Manual","Second",17.2,1968,138.1,5,11.665,14.45
"1095",1129,"Maruti Ertiga SHVS VDI","Ahmedabad",2018,38000,"Diesel","Manual","First",24.52,1248,88.5,7,11.665,8.7
"1096",1130,"Hyundai Grand i10 CRDi Magna","Kochi",2016,57738,"Diesel","Manual","First",24,1120,70,5,11.665,5.04
"1097",1131,"Maruti Ciaz VDi Plus SHVS","Jaipur",2017,38282,"Diesel","Manual","First",28.09,1248,88.5,5,11.665,8.5
"1098",1132,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Delhi",2014,64000,"Diesel","Automatic","First",19.27,2143,170,5,11.665,15.65
"1099",1133,"Fiat Avventura MULTIJET Emotion","Mumbai",2015,32000,"Diesel","Manual","First",20.5,1248,91.72,5,11.665,5.65
"1100",1134,"Mercedes-Benz E-Class 2009-2013 E 250 Elegance","Bangalore",2010,83000,"Petrol","Automatic","First",10.93,2497,204,5,11.665,16.5
"1101",1136,"Volkswagen Vento Petrol Highline","Pune",2012,67200,"Petrol","Manual","First",15.04,1598,103.6,5,11.665,3.9
"1102",1137,"BMW 3 Series 320d Luxury Line","Jaipur",2013,62655,"Diesel","Automatic","First",18.88,1995,184,5,11.665,14.5
"1103",1138,"BMW 5 Series 2013-2017 530d M Sport","Bangalore",2015,16900,"Diesel","Automatic","First",14.69,2993,258,5,11.665,44
"1104",1139,"Hyundai Grand i10 1.2 Kappa Magna","Delhi",2017,8471,"Petrol","Manual","First",18.9,1197,81.86,5,6.54,5
"1105",1140,"Toyota Innova Crysta 2.8 ZX AT","Hyderabad",2016,69000,"Diesel","Automatic","First",11.36,2755,171.5,7,26.56,19.75
"1106",1141,"Renault Duster 110PS Diesel RxZ AMT","Coimbatore",2017,30090,"Diesel","Automatic","First",19.6,1461,108.45,5,15.05,11.44
"1107",1142,"Tata Indica Vista Aura 1.3 Quadrajet","Chennai",2011,120000,"Diesel","Manual","First",18,1248,75,5,11.665,1.75
"1108",1144,"Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde","Kochi",2016,35939,"Petrol","Manual","First",12.3,1796,185,5,11.665,30.42
"1109",1145,"Mahindra XUV500 W8 4WD","Coimbatore",2013,116694,"Diesel","Manual","First",15.1,2179,140,7,11.665,9.57
"1110",1146,"Mahindra Bolero ZLX","Mumbai",2016,40448,"Diesel","Manual","First",15.96,2523,62.1,7,11.01,3.5
"1111",1147,"Maruti Vitara Brezza ZDi","Coimbatore",2018,64456,"Diesel","Manual","First",24.3,1248,88.5,5,11,10.46
"1112",1148,"Fiat Avventura MULTIJET Emotion","Pune",2014,52782,"Diesel","Manual","First",20.5,1248,91.72,5,11.665,4.85
"1113",1149,"Honda Amaze S Petrol","Kochi",2016,51672,"Petrol","Manual","First",19.5,1199,88.76,5,7.55,5.68
"1114",1150,"Skoda Superb Elegance 1.8 TSI AT","Mumbai",2015,56073,"Petrol","Automatic","First",13.7,1798,157.75,5,11.665,13.25
"1115",1151,"Jaguar XF 3.0 Litre S Premium Luxury","Bangalore",2011,65000,"Diesel","Automatic","First",14.74,2993,270.9,5,11.665,16
"1116",1152,"Maruti Wagon R VXI BSIII","Chennai",2013,79000,"Petrol","Manual","First",18.9,998,67.1,5,11.665,3
"1117",1154,"Toyota Corolla Altis VL","Mumbai",2010,70200,"Petrol","Automatic","First",14.53,1798,138.1,5,11.665,5
"1118",1155,"Maruti Swift VXi BSIV","Delhi",2016,42000,"Petrol","Manual","First",16.1,1197,85,5,11.665,4.75
"1119",1156,"Volkswagen Polo 1.2 MPI Highline","Bangalore",2014,62000,"Petrol","Manual","First",16.47,1198,74,5,11.665,5.35
"1120",1157,"Hyundai Grand i10 1.2 Kappa Asta","Hyderabad",2017,20000,"Petrol","Manual","First",18.9,1197,81.86,5,7.82,5.98
"1121",1158,"Maruti SX4 ZDI","Chennai",2011,80000,"Diesel","Manual","Third",21.5,1248,88.8,5,11.665,3.5
"1122",1159,"Hyundai Grand i10 1.2 Kappa Magna","Kochi",2018,50234,"Petrol","Manual","First",18.9,1197,81.86,5,6.32,4.77
"1123",1160,"Maruti Baleno Delta 1.2","Delhi",2016,50003,"Petrol","Manual","First",21.4,1197,83.1,5,11.665,5.45
"1124",1161,"Tata Tigor 1.2 Revotron XTA","Ahmedabad",2018,1000,"Petrol","Automatic","First",20.3,1199,84,5,11.665,6.85
"1125",1162,"Maruti Swift Dzire AMT ZDI","Jaipur",2016,54897,"Diesel","Automatic","First",26.59,1248,74,5,11.665,7.3
"1126",1163,"Tata Indica GLS BS IV","Pune",2007,108995,"Petrol","Manual","First",15.3,1193,65.3,5,11.665,1.25
"1127",1164,"Maruti SX4 S Cross DDiS 320 Zeta","Chennai",2015,73000,"Diesel","Manual","First",22.7,1598,118,5,11.665,8.25
"1128",1165,"Maruti Swift VXI BSIII","Ahmedabad",2008,65000,"Petrol","Manual","First",16.1,1298,88.2,5,11.665,2.71
"1129",1166,"Hyundai Xcent 1.2 Kappa SX","Kolkata",2016,32000,"Petrol","Manual","First",19.1,1197,82,5,11.665,3.6
"1130",1167,"Hyundai i20 1.2 Magna","Ahmedabad",2010,65000,"Petrol","Manual","First",18.5,1197,80,5,11.665,3
"1131",1168,"Maruti Celerio VXI AT","Hyderabad",2016,21600,"Petrol","Automatic","First",23.1,998,67.04,5,11.665,4.65
"1132",1169,"Mercedes-Benz New C-Class C 220 CDI Elegance AT","Mumbai",2010,39000,"Diesel","Automatic","First",14.84,2143,170,5,11.665,9.5
"1133",1170,"Maruti Swift Dzire VXi","Mumbai",2011,58075,"Petrol","Manual","First",17.5,1298,85.8,5,11.665,2.95
"1134",1171,"Volkswagen Vento Petrol Trendline","Mumbai",2011,58000,"Petrol","Manual","First",15.04,1598,103.6,5,11.665,3
"1135",1172,"Maruti Swift ZDi","Hyderabad",2015,58000,"Diesel","Manual","First",25.2,1248,74,5,11.665,5.95
"1136",1173,"Toyota Corolla Altis VL","Delhi",2008,89000,"Petrol","Automatic","First",14.53,1798,138.1,5,11.665,4
"1137",1174,"Honda Civic 2006-2010 1.8 V MT","Delhi",2008,72000,"Petrol","Manual","First",13.5,1799,130,5,11.665,2.5
"1138",1175,"Ford EcoSport 1.5 Ti VCT AT Titanium BE","Kolkata",2017,1800,"Petrol","Automatic","First",16.05,1499,110.4,5,11.665,11.37
"1139",1176,"Fiat Linea Emotion Pack (Diesel)","Pune",2010,172050,"Diesel","Manual","Second",19,1248,93,5,11.665,2.25
"1140",1177,"Hyundai i10 Era","Jaipur",2013,46230,"Petrol","Manual","First",19.81,1086,68.05,5,11.665,3.1
"1141",1178,"Volvo XC60 D5 Inscription","Kochi",2014,86925,"Diesel","Automatic","First",11.2,2400,215,5,11.665,17.18
"1142",1179,"Hyundai i20 1.2 Asta","Jaipur",2018,5000,"Petrol","Manual","First",18.6,1197,81.83,5,11.665,6.5
"1143",1180,"Honda City i DTEC S","Ahmedabad",2014,66000,"Diesel","Manual","First",26,1498,98.6,5,11.665,5.7
"1144",1181,"Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV","Ahmedabad",2013,119000,"Diesel","Manual","First",12.99,2494,100,8,11.665,8
"1145",1182,"Renault KWID RXT","Chennai",2016,45000,"Petrol","Manual","First",25.17,799,53.3,5,11.665,2.6
"1146",1183,"Maruti A-Star Vxi","Hyderabad",2009,66149,"Petrol","Manual","First",19,998,66.1,5,11.665,2.45
"1147",1184,"Mercedes-Benz B Class B180","Kochi",2014,42070,"Petrol","Automatic","First",14.8,1595,120.7,5,11.665,11.57
"1148",1185,"Maruti Wagon R LXI BS IV","Kolkata",2012,35503,"Petrol","Manual","First",18.9,998,67.1,5,11.665,2.3
"1149",1186,"Maruti Swift VDI BSIV","Jaipur",2016,41460,"Diesel","Manual","First",25.2,1248,74,5,11.665,5.9
"1150",1187,"Hyundai Verna VTVT 1.6 AT SX Option","Mumbai",2015,40600,"Petrol","Automatic","First",17,1591,121.3,5,15.14,7.2
"1151",1188,"Hyundai Verna CRDi 1.6 AT SX Option","Ahmedabad",2013,87000,"Diesel","Automatic","First",22,1582,126.2,5,15.72,5.9
"1152",1189,"Honda City V MT","Chennai",2014,30000,"Petrol","Manual","Second",16.8,1497,116.3,5,11.665,6
"1153",1190,"Hyundai i10 Magna Optional 1.1L","Kolkata",2010,27089,"Petrol","Manual","First",16,1086,66.7,5,11.665,1.95
"1154",1191,"Toyota Etios GD SP","Coimbatore",2016,53702,"Diesel","Manual","First",23.59,1364,67.04,5,11.665,6.55
"1155",1192,"Volvo S60 D4 Momentum","Hyderabad",2015,51000,"Diesel","Automatic","First",27.03,1969,190,5,45.67,25
"1156",1193,"Ford Figo Diesel EXI","Kolkata",2012,36542,"Diesel","Manual","First",20,1399,68.05,5,11.665,2.65
"1157",1194,"Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade","Mumbai",2017,15000,"Diesel","Automatic","First",13,2987,265,5,11.665,69.5
"1158",1195,"BMW 3 Series 320d Luxury Line","Chennai",2012,65000,"Diesel","Automatic","First",22.69,1995,190,5,54.7,14
"1159",1196,"Maruti Alto 800 VXI","Pune",2014,32000,"Petrol","Manual","Second",22.74,796,47.3,5,11.665,2.1
"1160",1197,"Toyota Innova Crysta 2.4 VX MT","Hyderabad",2017,24393,"Diesel","Manual","First",13.68,2393,147.8,7,22.87,20.4
"1161",1198,"Volkswagen Polo 1.0 MPI Trendline","Hyderabad",2019,1000,"Petrol","Manual","First",18.78,999,75,5,6.74,5.68
"1162",1199,"Nissan Terrano XL","Mumbai",2014,28238,"Petrol","Manual","First",13.24,1598,102.5,5,11.665,5.55
"1163",1200,"Mitsubishi Pajero Sport 4X4","Mumbai",2013,59000,"Diesel","Manual","First",13.5,2477,175.56,7,33.09,12.75
"1164",1201,"Honda Civic 2010-2013 1.8 S MT","Mumbai",2012,92000,"Petrol","Manual","Second",14.8,1799,130.2,5,11.665,3.35
"1165",1202,"Maruti Alto 800 LXI","Kolkata",2013,56840,"Petrol","Manual","First",22.74,796,47.3,5,11.665,1.55
"1166",1203,"Volkswagen Vento Diesel Highline","Coimbatore",2013,62746,"Diesel","Manual","Second",20.54,1598,103.6,5,11.665,5.9
"1167",1204,"Land Rover Freelander 2 HSE","Hyderabad",2012,96000,"Diesel","Automatic","First",12.35,2179,187.74,5,11.665,18.98
"1168",1205,"Honda CR-V 2.0L 2WD MT","Mumbai",2014,24000,"Petrol","Manual","First",13.7,1997,153.86,5,11.665,11.51
"1169",1206,"Maruti Ertiga VDI","Mumbai",2016,54000,"Diesel","Manual","First",20.77,1248,88.76,7,11.665,7.75
"1170",1207,"Toyota Innova 2.5 GX (Diesel) 7 Seater","Chennai",2016,90000,"Diesel","Manual","First",12.99,2494,100.6,7,11.665,13.9
"1171",1208,"Tata Manza Aura Safire","Kolkata",2010,40000,"Petrol","Manual","First",15,1368,90,5,11.665,1.35
"1172",1209,"Audi Q7 35 TDI Quattro Premium Plus","Mumbai",2015,65938,"Diesel","Automatic","Second",12.07,2967,241.4,7,11.665,38
"1173",1210,"Hyundai Verna 1.6 SX VTVT (O) AT","Mumbai",2017,16100,"Petrol","Automatic","First",17.1,1591,121.4,5,11.665,11.6
"1174",1211,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Hyderabad",2017,3600,"Diesel","Automatic","First",21.5,1498,108.5,5,11.665,12.25
"1175",1212,"Honda City 1.5 S MT","Jaipur",2011,52000,"Petrol","Manual","First",17,1497,118,5,11.665,3.8
"1176",1213,"Ford Figo Diesel Titanium","Mumbai",2014,54000,"Diesel","Manual","First",20,1399,68.05,5,11.665,3.25
"1177",1214,"Honda Jazz 1.2 VX i VTEC","Mumbai",2016,15399,"Petrol","Manual","First",18.7,1199,88.7,5,11.665,6.4
"1178",1215,"Volkswagen Polo Petrol Highline 1.2L","Bangalore",2012,75000,"Petrol","Manual","Second",16.47,1198,73.9,5,11.665,3.95
"1179",1216,"Honda City i-VTEC S","Delhi",2010,76752,"Petrol","Manual","First",17.4,1497,117.3,5,11.665,3.57
"1180",1217,"Honda City ZX GXi","Mumbai",2005,56000,"Petrol","Manual","Second",17.7,1497,78,5,11.665,1.25
"1181",1219,"Honda CR-V 2.4L 4WD AT AVN","Kolkata",2013,46125,"Petrol","Automatic","Second",12,2354,187.4,5,11.665,12.5
"1182",1220,"BMW 5 Series 2013-2017 520d Luxury Line","Ahmedabad",2014,35000,"Diesel","Automatic","Second",18.12,1995,190,5,11.665,23
"1183",1221,"Ambassador Classic Nova Diesel","Chennai",2003,80000,"Diesel","Manual","Third",12.8,1489,35.5,5,11.665,1.35
"1184",1222,"Mahindra Scorpio VLX 2.2 mHawk BSIII","Coimbatore",2012,62729,"Diesel","Manual","First",12.05,2179,120,8,11.665,6.32
"1185",1223,"Volkswagen Vento Diesel Comfortline","Kolkata",2012,34000,"Diesel","Manual","First",20.54,1598,103.6,5,11.665,3.4
"1186",1224,"Maruti Zen VX","Jaipur",1999,70000,"Petrol","Manual","Second",17.3,993,60,5,11.665,0.77
"1187",1225,"Maruti 800 DX BSII","Jaipur",2009,32000,"Petrol","Manual","First",16.1,796,37,4,11.665,0.9
"1188",1226,"Toyota Corolla Altis 1.8 VL CVT","Delhi",2017,21000,"Petrol","Automatic","First",14.28,1798,138.03,5,23.25,18
"1189",1227,"BMW 3 Series 328i Sport Line","Pune",2013,49000,"Petrol","Automatic","First",14.59,1997,245,5,11.665,19
"1190",1228,"Ford Ikon 1.3 Flair","Chennai",2007,40000,"Petrol","Manual","Third",13.8,1299,70,5,11.665,1.1
"1191",1229,"Chevrolet Beat LT","Pune",2012,78000,"Petrol","Manual","Second",18.6,1199,79.4,5,11.665,2
"1192",1230,"Toyota Corolla Altis 1.4 DG","Ahmedabad",2012,52000,"Diesel","Manual","First",21.43,1364,86.79,5,19.27,6.5
"1193",1231,"Mahindra XUV500 W4","Bangalore",2014,65213,"Diesel","Manual","First",16,2179,140,7,11.665,9.45
"1194",1232,"Hyundai Xcent 1.1 CRDi Base","Mumbai",2016,170000,"Diesel","Manual","First",24.4,1120,71,5,11.665,4
"1195",1233,"Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Kochi",2017,36884,"Diesel","Automatic","First",13,2143,204,5,11.665,32.25
"1196",1234,"Hyundai i10 Sportz","Pune",2009,62500,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.1
"1197",1235,"Toyota Corolla Altis VL AT","Mumbai",2015,68000,"Petrol","Automatic","Second",14.28,1798,138.03,5,11.665,9.75
"1198",1236,"Toyota Corolla 1.8 J","Kolkata",2014,40748,"Petrol","Manual","First",14.53,1798,138,5,11.665,6.3
"1199",1237,"Audi Q3 2.0 TDI Quattro","Hyderabad",2013,60000,"Diesel","Automatic","First",17.32,1968,184,5,11.665,21
"1200",1238,"Hyundai i20 Magna Optional 1.4 CRDi","Mumbai",2014,12400,"Diesel","Manual","First",21.9,1396,88.8,5,11.665,4.65
"1201",1239,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Mumbai",2013,87000,"Diesel","Automatic","Second",19.27,2143,167.62,5,11.665,17
"1202",1240,"Maruti Ritz VDi","Pune",2013,20248,"Diesel","Manual","First",21.1,1248,73.9,5,11.665,4.35
"1203",1241,"Hyundai Creta 1.6 SX Plus Diesel","Coimbatore",2017,52383,"Diesel","Manual","First",19.67,1582,126.2,5,11.665,14.82
"1204",1242,"Jaguar XE 2.0L Diesel Prestige","Delhi",2018,1000,"Diesel","Automatic","First",13.6,1999,177,5,52.77,40
"1205",1243,"Mahindra Xylo D4","Chennai",2016,85000,"Diesel","Manual","First",14.95,2489,93.7,7,11.67,6.15
"1206",1244,"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad",2014,47000,"Diesel","Manual","First",12.99,2494,100.6,7,11.665,11.25
"1207",1245,"Toyota Camry 2.5 Hybrid","Pune",2018,17585,"Petrol","Automatic","First",19.16,2494,157.7,5,11.665,32
"1208",1246,"Audi Q5 3.0 TDI Quattro","Coimbatore",2018,32496,"Diesel","Automatic","First",13.22,2967,241.4,5,11.665,45.62
"1209",1247,"Maruti Swift VDI","Kochi",2017,34613,"Diesel","Manual","First",28.4,1248,74,5,7.92,6.24
"1210",1248,"Maruti Ertiga VDI Limited Edition","Chennai",2015,153000,"Diesel","Manual","First",20.77,1248,88.76,7,11.665,4.8
"1211",1249,"Maruti Swift VXi BSIV","Chennai",2014,54000,"Petrol","Manual","Second",16.1,1197,85,5,11.665,4.5
"1212",1250,"Hyundai i10 Sportz","Kochi",2015,16900,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,3.87
"1213",1251,"Hyundai i10 Sportz","Delhi",2013,62334,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.75
"1214",1252,"Maruti Baleno Sigma 1.2","Kochi",2018,23714,"Petrol","Manual","First",21.4,1197,83.1,5,11.665,6.57
"1215",1253,"Hyundai Accent Executive","Jaipur",2010,52325,"Petrol","Manual","First",16.36,1495,93.7,5,11.665,2
"1216",1254,"Honda Brio S MT","Ahmedabad",2012,50000,"Petrol","Manual","First",19.4,1198,86.8,5,11.665,3.65
"1217",1255,"Maruti Swift ZDi","Hyderabad",2016,55746,"Diesel","Manual","First",22.9,1248,74,5,11.665,6.95
"1218",1256,"Hyundai Xcent 1.2 VTVT S","Bangalore",2014,54000,"Petrol","Manual","First",20.14,1197,81.86,5,7.85,5.5
"1219",1257,"Mahindra XUV500 W8 2WD","Kolkata",2013,43000,"Diesel","Manual","First",16,2179,140,7,11.665,7
"1220",1258,"Mercedes-Benz E-Class E250 CDI Avantgrade","Delhi",2014,40000,"Diesel","Automatic","First",13,2143,201.1,5,11.665,24
"1221",1259,"Land Rover Freelander 2 TD4 S","Bangalore",2010,125000,"Diesel","Automatic","Second",0,2179,115,5,11.665,11
"1222",1260,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Bangalore",2016,51944,"Diesel","Automatic","First",19.27,2143,170,5,11.665,32.5
"1223",1261,"Hyundai i20 Asta 1.4 CRDi","Kochi",2015,46950,"Diesel","Manual","First",21.27,1396,88.76,5,11.665,6.45
"1224",1262,"Skoda Octavia Elegance 2.0 TDI AT","Mumbai",2015,23000,"Diesel","Automatic","First",19.3,1968,141,5,11.665,15.75
"1225",1263,"Honda City 1.5 S MT","Mumbai",2014,54546,"Petrol","Manual","First",17,1497,118,5,11.665,5.5
"1226",1264,"Toyota Fortuner 4x2 AT","Kochi",2015,51535,"Diesel","Automatic","First",12.55,2982,168.5,7,11.665,19.03
"1227",1265,"Audi Q3 2.0 TDI Quattro","Kolkata",2013,45000,"Diesel","Automatic","First",17.32,1968,184,5,11.665,15.25
"1228",1266,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2012,46004,"Petrol","Manual","First",20.92,998,67.1,5,11.665,2.4
"1229",1267,"Tata Indigo eCS LX BSIV","Chennai",2011,124000,"Diesel","Manual","First",23.03,1396,69,5,11.665,2.3
"1230",1268,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2014,77395,"Diesel","Automatic","First",17.11,1968,174.33,5,11.665,14.35
