"","X","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"497",497,"female","group C","some college","standard","none",54,48,52
"498",498,"female","group D","some college","free/reduced","completed",59,78,76
"499",499,"female","group B","some high school","standard","none",66,69,68
"500",500,"male","group E","some college","standard","none",76,71,72
"501",501,"female","group D","master's degree","standard","none",74,79,82
"502",502,"female","group B","associate's degree","standard","completed",94,87,92
"503",503,"male","group C","some college","free/reduced","none",63,61,54
"504",504,"female","group E","associate's degree","standard","completed",95,89,92
"505",505,"female","group D","master's degree","free/reduced","none",40,59,54
"506",506,"female","group B","some high school","standard","none",82,82,80
"507",507,"male","group A","high school","standard","none",68,70,66
"508",508,"male","group B","bachelor's degree","free/reduced","none",55,59,54
"509",509,"male","group C","master's degree","standard","none",79,78,77
"510",510,"female","group C","bachelor's degree","standard","none",86,92,87
"511",511,"male","group D","some college","standard","none",76,71,73
"512",512,"male","group A","some high school","standard","none",64,50,43
"513",513,"male","group D","some high school","free/reduced","none",62,49,52
"514",514,"female","group B","some high school","standard","completed",54,61,62
"515",515,"female","group B","master's degree","free/reduced","completed",77,97,94
"516",516,"female","group C","some high school","standard","completed",76,87,85
"517",517,"female","group D","some college","standard","none",74,89,84
"518",518,"female","group E","some college","standard","completed",66,74,73
"519",519,"female","group D","some high school","standard","completed",66,78,78
"520",520,"female","group B","high school","free/reduced","completed",67,78,79
"521",521,"male","group D","some college","standard","none",71,49,52
"522",522,"female","group C","associate's degree","standard","none",91,86,84
"523",523,"male","group D","bachelor's degree","standard","none",69,58,57
"524",524,"male","group C","master's degree","free/reduced","none",54,59,50
"525",525,"male","group C","high school","standard","completed",53,52,49
"526",526,"male","group E","some college","standard","none",68,60,59
"527",527,"male","group C","some high school","free/reduced","completed",56,61,60
"528",528,"female","group C","high school","free/reduced","none",36,53,43
"529",529,"female","group D","bachelor's degree","free/reduced","none",29,41,47
"530",530,"female","group C","associate's degree","standard","none",62,74,70
"531",531,"female","group C","associate's degree","standard","completed",68,67,73
"532",532,"female","group C","some high school","standard","none",47,54,53
"533",533,"male","group E","associate's degree","standard","completed",62,61,58
"534",534,"female","group E","associate's degree","standard","completed",79,88,94
"535",535,"male","group B","high school","standard","completed",73,69,68
"536",536,"female","group C","bachelor's degree","free/reduced","completed",66,83,83
"537",537,"male","group C","associate's degree","standard","completed",51,60,58
"538",538,"female","group D","high school","standard","none",51,66,62
"539",539,"male","group E","bachelor's degree","standard","completed",85,66,71
"540",540,"male","group A","associate's degree","standard","completed",97,92,86
"541",541,"male","group C","high school","standard","completed",75,69,68
"542",542,"male","group D","associate's degree","free/reduced","completed",79,82,80
"543",543,"female","group C","associate's degree","standard","none",81,77,79
"544",544,"female","group D","associate's degree","standard","none",82,95,89
"545",545,"female","group D","master's degree","standard","none",64,63,66
"546",546,"male","group E","some high school","free/reduced","completed",78,83,80
"547",547,"female","group A","some high school","standard","completed",92,100,97
"548",548,"male","group C","high school","standard","completed",72,67,64
"549",549,"female","group C","high school","free/reduced","none",62,67,64
"550",550,"male","group C","master's degree","standard","none",79,72,69
"551",551,"male","group C","some high school","free/reduced","none",79,76,65
"552",552,"male","group B","bachelor's degree","free/reduced","completed",87,90,88
"553",553,"female","group B","associate's degree","standard","none",40,48,50
"554",554,"male","group D","some college","free/reduced","none",77,62,64
"555",555,"male","group E","associate's degree","standard","none",53,45,40
"556",556,"female","group C","some college","free/reduced","none",32,39,33
"557",557,"female","group C","associate's degree","standard","completed",55,72,79
"558",558,"male","group C","master's degree","free/reduced","none",61,67,66
"559",559,"female","group B","associate's degree","free/reduced","none",53,70,70
"560",560,"male","group D","some high school","standard","none",73,66,62
"561",561,"female","group D","some college","standard","completed",74,75,79
"562",562,"female","group C","some college","standard","none",63,74,74
"563",563,"male","group C","bachelor's degree","standard","completed",96,90,92
"564",564,"female","group D","some college","free/reduced","completed",63,80,80
"565",565,"male","group B","bachelor's degree","free/reduced","none",48,51,46
"566",566,"male","group B","associate's degree","standard","none",48,43,45
"567",567,"female","group E","bachelor's degree","free/reduced","completed",92,100,100
"568",568,"female","group D","master's degree","free/reduced","completed",61,71,78
"569",569,"male","group B","high school","free/reduced","none",63,48,47
"570",570,"male","group D","bachelor's degree","free/reduced","none",68,68,67
"571",571,"male","group B","some college","standard","completed",71,75,70
"572",572,"male","group A","bachelor's degree","standard","none",91,96,92
"573",573,"female","group C","some college","standard","none",53,62,56
"574",574,"female","group C","high school","free/reduced","completed",50,66,64
"575",575,"female","group E","high school","standard","none",74,81,71
"576",576,"male","group A","associate's degree","free/reduced","completed",40,55,53
"577",577,"male","group A","some college","standard","completed",61,51,52
"578",578,"female","group B","high school","standard","none",81,91,89
"579",579,"female","group B","some college","free/reduced","completed",48,56,58
"580",580,"female","group D","master's degree","standard","none",53,61,68
"581",581,"female","group D","some high school","standard","none",81,97,96
"582",582,"female","group E","some high school","standard","none",77,79,80
"583",583,"female","group D","bachelor's degree","free/reduced","none",63,73,78
"584",584,"female","group D","associate's degree","standard","completed",73,75,80
"585",585,"female","group D","some college","standard","none",69,77,77
"586",586,"female","group C","associate's degree","standard","none",65,76,76
"587",587,"female","group A","high school","standard","none",55,73,73
"588",588,"female","group C","bachelor's degree","free/reduced","none",44,63,62
"589",589,"female","group C","some college","standard","none",54,64,65
"590",590,"female","group A","some high school","standard","none",48,66,65
"591",591,"male","group C","some college","free/reduced","none",58,57,54
"592",592,"male","group A","some high school","standard","none",71,62,50
"593",593,"male","group E","bachelor's degree","standard","none",68,68,64
"594",594,"female","group E","high school","standard","none",74,76,73
"595",595,"female","group C","bachelor's degree","standard","completed",92,100,99
"596",596,"female","group C","bachelor's degree","standard","completed",56,79,72
"597",597,"male","group B","high school","free/reduced","none",30,24,15
"598",598,"male","group A","some high school","standard","none",53,54,48
"599",599,"female","group D","high school","standard","none",69,77,73
"600",600,"female","group D","some high school","standard","none",65,82,81
"601",601,"female","group D","master's degree","standard","none",54,60,63
"602",602,"female","group C","high school","standard","none",29,29,30
"603",603,"female","group E","some college","standard","none",76,78,80
"604",604,"male","group D","high school","free/reduced","none",60,57,51
"605",605,"male","group D","master's degree","free/reduced","completed",84,89,90
"606",606,"male","group C","some high school","standard","none",75,72,62
"607",607,"female","group C","associate's degree","standard","none",85,84,82
"608",608,"female","group C","master's degree","free/reduced","none",40,58,54
"609",609,"female","group E","some college","standard","none",61,64,62
"610",610,"female","group B","associate's degree","standard","none",58,63,65
"611",611,"male","group D","some college","free/reduced","completed",69,60,63
"612",612,"female","group C","some college","standard","none",58,59,66
"613",613,"male","group C","bachelor's degree","standard","completed",94,90,91
"614",614,"female","group C","associate's degree","standard","none",65,77,74
"615",615,"female","group A","associate's degree","standard","none",82,93,93
"616",616,"female","group C","high school","standard","none",60,68,72
"617",617,"female","group E","bachelor's degree","standard","none",37,45,38
"618",618,"male","group D","bachelor's degree","standard","none",88,78,83
"619",619,"male","group D","master's degree","standard","none",95,81,84
"620",620,"male","group C","associate's degree","free/reduced","completed",65,73,68
"621",621,"female","group C","high school","free/reduced","none",35,61,54
"622",622,"male","group B","bachelor's degree","free/reduced","none",62,63,56
"623",623,"male","group C","high school","free/reduced","completed",58,51,52
"624",624,"male","group A","some college","standard","completed",100,96,86
"625",625,"female","group E","bachelor's degree","free/reduced","none",61,58,62
"626",626,"male","group D","some college","standard","completed",100,97,99
"627",627,"male","group B","associate's degree","free/reduced","completed",69,70,63
"628",628,"male","group D","associate's degree","standard","none",61,48,46
"629",629,"male","group D","some college","free/reduced","none",49,57,46
"630",630,"female","group C","some high school","standard","completed",44,51,55
"631",631,"male","group D","some college","standard","none",67,64,70
"632",632,"male","group B","high school","standard","none",79,60,65
"633",633,"female","group B","bachelor's degree","standard","completed",66,74,81
"634",634,"female","group C","high school","standard","none",75,88,85
"635",635,"male","group D","some high school","standard","none",84,84,80
"636",636,"male","group A","high school","standard","none",71,74,64
"637",637,"female","group B","high school","free/reduced","completed",67,80,81
"638",638,"female","group D","some high school","standard","completed",80,92,88
"639",639,"male","group E","some college","standard","none",86,76,74
"640",640,"female","group D","associate's degree","standard","none",76,74,73
"641",641,"male","group D","high school","standard","none",41,52,51
"642",642,"female","group D","associate's degree","free/reduced","completed",74,88,90
"643",643,"female","group B","some high school","free/reduced","none",72,81,79
"644",644,"female","group E","high school","standard","completed",74,79,80
"645",645,"male","group B","high school","standard","none",70,65,60
"646",646,"female","group B","bachelor's degree","standard","completed",65,81,81
"647",647,"female","group D","associate's degree","standard","none",59,70,65
"648",648,"female","group E","high school","free/reduced","none",64,62,68
"649",649,"female","group B","high school","standard","none",50,53,55
"650",650,"female","group D","some college","standard","completed",69,79,81
"651",651,"male","group C","some high school","free/reduced","completed",51,56,53
"652",652,"female","group A","high school","standard","completed",68,80,76
"653",653,"female","group D","some college","standard","completed",85,86,98
"654",654,"female","group A","associate's degree","standard","completed",65,70,74
"655",655,"female","group B","some high school","standard","none",73,79,79
"656",656,"female","group B","some college","standard","none",62,67,67
"657",657,"male","group C","associate's degree","free/reduced","none",77,67,64
"658",658,"male","group D","some high school","standard","none",69,66,61
"659",659,"female","group D","associate's degree","free/reduced","none",43,60,58
"660",660,"male","group D","associate's degree","standard","none",90,87,85
"661",661,"male","group C","some college","free/reduced","none",74,77,73
"662",662,"male","group C","some high school","standard","none",73,66,63
"663",663,"female","group D","some college","free/reduced","none",55,71,69
"664",664,"female","group C","high school","standard","none",65,69,67
"665",665,"male","group D","associate's degree","standard","none",80,63,63
"666",666,"female","group C","some high school","free/reduced","completed",50,60,60
"667",667,"female","group C","some college","free/reduced","completed",63,73,71
"668",668,"female","group B","bachelor's degree","free/reduced","none",77,85,87
"669",669,"male","group C","some college","standard","none",73,74,61
"670",670,"male","group D","associate's degree","standard","completed",81,72,77
"671",671,"female","group C","high school","free/reduced","none",66,76,68
"672",672,"male","group D","associate's degree","free/reduced","none",52,57,50
"673",673,"female","group C","some college","standard","none",69,78,76
"674",674,"female","group C","associate's degree","standard","completed",65,84,84
"675",675,"female","group D","high school","standard","completed",69,77,78
"676",676,"female","group B","some college","standard","completed",50,64,66
"677",677,"female","group E","some college","standard","completed",73,78,76
"678",678,"female","group C","some high school","standard","completed",70,82,76
"679",679,"male","group D","associate's degree","free/reduced","none",81,75,78
"680",680,"male","group D","some college","free/reduced","none",63,61,60
"681",681,"female","group D","high school","standard","none",67,72,74
"682",682,"male","group B","high school","standard","none",60,68,60
"683",683,"male","group B","high school","standard","none",62,55,54
"684",684,"female","group C","some high school","free/reduced","completed",29,40,44
"685",685,"male","group B","some college","standard","completed",62,66,68
"686",686,"female","group E","master's degree","standard","completed",94,99,100
"687",687,"male","group E","some college","standard","completed",85,75,68
"688",688,"male","group D","associate's degree","free/reduced","none",77,78,73
"689",689,"male","group A","high school","free/reduced","none",53,58,44
"690",690,"male","group E","some college","free/reduced","none",93,90,83
"691",691,"female","group C","associate's degree","standard","none",49,53,53
"692",692,"female","group E","associate's degree","free/reduced","none",73,76,78
"693",693,"female","group C","bachelor's degree","free/reduced","completed",66,74,81
"694",694,"female","group D","associate's degree","standard","none",77,77,73
"695",695,"female","group C","some high school","standard","none",49,63,56
"696",696,"female","group D","some college","free/reduced","none",79,89,86
"697",697,"female","group C","associate's degree","standard","completed",75,82,90
"698",698,"female","group A","bachelor's degree","standard","none",59,72,70
"699",699,"female","group D","associate's degree","standard","completed",57,78,79
"700",700,"male","group C","high school","free/reduced","none",66,66,59
"701",701,"female","group E","bachelor's degree","standard","completed",79,81,82
"702",702,"female","group B","some high school","standard","none",57,67,72
"703",703,"male","group A","bachelor's degree","standard","completed",87,84,87
"704",704,"female","group D","some college","standard","none",63,64,67
"705",705,"female","group B","some high school","free/reduced","completed",59,63,64
"706",706,"male","group A","bachelor's degree","free/reduced","none",62,72,65
"707",707,"male","group D","high school","standard","none",46,34,36
"708",708,"male","group C","some college","standard","none",66,59,52
"709",709,"male","group D","high school","standard","none",89,87,79
"710",710,"female","group D","associate's degree","free/reduced","completed",42,61,58
"711",711,"male","group C","some college","standard","completed",93,84,90
"712",712,"female","group E","some high school","standard","completed",80,85,85
"713",713,"female","group D","some college","standard","none",98,100,99
"714",714,"male","group D","master's degree","standard","none",81,81,84
"715",715,"female","group B","some high school","standard","completed",60,70,74
"716",716,"female","group B","associate's degree","free/reduced","completed",76,94,87
"717",717,"male","group C","associate's degree","standard","completed",73,78,72
"718",718,"female","group C","associate's degree","standard","completed",96,96,99
"719",719,"female","group C","high school","standard","none",76,76,74
"720",720,"male","group E","associate's degree","free/reduced","completed",91,73,80
"721",721,"female","group C","some college","free/reduced","none",62,72,70
"722",722,"male","group D","some high school","free/reduced","completed",55,59,59
"723",723,"female","group B","some high school","free/reduced","completed",74,90,88
"724",724,"male","group C","high school","standard","none",50,48,42
"725",725,"male","group B","some college","standard","none",47,43,41
"726",726,"male","group E","some college","standard","completed",81,74,71
"727",727,"female","group E","associate's degree","standard","completed",65,75,77
"728",728,"male","group E","some high school","standard","completed",68,51,57
"729",729,"female","group D","high school","free/reduced","none",73,92,84
"730",730,"male","group C","some college","standard","none",53,39,37
"731",731,"female","group B","associate's degree","free/reduced","completed",68,77,80
"732",732,"male","group A","some high school","free/reduced","none",55,46,43
"733",733,"female","group C","some college","standard","completed",87,89,94
"734",734,"male","group D","some high school","standard","none",55,47,44
"735",735,"female","group E","some college","free/reduced","none",53,58,57
"736",736,"male","group C","master's degree","standard","none",67,57,59
"737",737,"male","group C","associate's degree","standard","none",92,79,84
"738",738,"female","group B","some college","free/reduced","completed",53,66,73
"739",739,"male","group D","associate's degree","standard","none",81,71,73
"740",740,"male","group C","high school","free/reduced","none",61,60,55
"741",741,"male","group D","bachelor's degree","standard","none",80,73,72
"742",742,"female","group A","associate's degree","free/reduced","none",37,57,56
"743",743,"female","group C","high school","standard","none",81,84,82
"744",744,"female","group C","associate's degree","standard","completed",59,73,72
"745",745,"male","group B","some college","free/reduced","none",55,55,47
"746",746,"male","group D","associate's degree","standard","none",72,79,74
"747",747,"male","group D","high school","standard","none",69,75,71
"748",748,"male","group C","some college","standard","none",69,64,68
"749",749,"female","group C","bachelor's degree","free/reduced","none",50,60,59
"750",750,"male","group B","some college","standard","completed",87,84,86
"751",751,"male","group D","some high school","standard","completed",71,69,68
"752",752,"male","group E","some college","standard","none",68,72,65
"753",753,"male","group C","master's degree","free/reduced","completed",79,77,75
"754",754,"female","group C","some high school","standard","completed",77,90,85
"755",755,"male","group C","associate's degree","free/reduced","none",58,55,53
"756",756,"female","group E","associate's degree","standard","none",84,95,92
"757",757,"male","group D","some college","standard","none",55,58,52
"758",758,"male","group E","bachelor's degree","free/reduced","completed",70,68,72
"759",759,"female","group D","some college","free/reduced","completed",52,59,65
"760",760,"male","group B","some college","standard","completed",69,77,77
"761",761,"female","group C","high school","free/reduced","none",53,72,64
"762",762,"female","group D","some high school","standard","none",48,58,54
"763",763,"male","group D","some high school","standard","completed",78,81,86
"764",764,"female","group B","high school","standard","none",62,62,63
"765",765,"male","group D","some college","standard","none",60,63,59
"766",766,"female","group B","high school","standard","none",74,72,72
"767",767,"female","group C","high school","standard","completed",58,75,77
"768",768,"male","group B","high school","standard","completed",76,62,60
"769",769,"female","group D","some high school","standard","none",68,71,75
"770",770,"male","group A","some college","free/reduced","none",58,60,57
"771",771,"male","group B","high school","standard","none",52,48,49
"772",772,"male","group D","bachelor's degree","standard","none",75,73,74
"773",773,"female","group B","some high school","free/reduced","completed",52,67,72
"774",774,"female","group C","bachelor's degree","free/reduced","none",62,78,79
"775",775,"male","group B","some college","standard","none",66,65,60
"776",776,"female","group B","some high school","free/reduced","none",49,58,55
"777",777,"female","group B","high school","standard","none",66,72,70
"778",778,"female","group C","some college","free/reduced","none",35,44,43
"779",779,"female","group A","some college","standard","completed",72,79,82
"780",780,"male","group E","associate's degree","standard","completed",94,85,82
"781",781,"female","group D","associate's degree","free/reduced","none",46,56,57
"782",782,"female","group B","master's degree","standard","none",77,90,84
"783",783,"female","group B","high school","free/reduced","completed",76,85,82
"784",784,"female","group C","associate's degree","standard","completed",52,59,62
"785",785,"male","group C","bachelor's degree","standard","completed",91,81,79
"786",786,"female","group B","some high school","standard","completed",32,51,44
"787",787,"female","group E","some high school","free/reduced","none",72,79,77
"788",788,"female","group B","some college","standard","none",19,38,32
"789",789,"male","group C","associate's degree","free/reduced","none",68,65,61
"790",790,"female","group C","master's degree","free/reduced","none",52,65,61
"791",791,"female","group B","high school","standard","none",48,62,60
"792",792,"female","group D","some college","free/reduced","none",60,66,70
"793",793,"male","group D","high school","free/reduced","none",66,74,69
"794",794,"male","group E","some high school","standard","completed",89,84,77
"795",795,"female","group B","high school","standard","none",42,52,51
"796",796,"female","group E","associate's degree","free/reduced","completed",57,68,73
"797",797,"male","group D","high school","standard","none",70,70,70
"798",798,"female","group E","associate's degree","free/reduced","none",70,84,81
"799",799,"male","group E","some college","standard","none",69,60,54
"800",800,"female","group C","associate's degree","standard","none",52,55,57
"801",801,"male","group C","some high school","standard","completed",67,73,68
"802",802,"male","group C","some high school","standard","completed",76,80,73
"803",803,"female","group E","associate's degree","standard","none",87,94,95
"804",804,"female","group B","some college","standard","none",82,85,87
"805",805,"female","group C","some college","standard","none",73,76,78
"806",806,"male","group A","some college","free/reduced","none",75,81,74
"807",807,"female","group D","some college","free/reduced","none",64,74,75
"808",808,"female","group E","high school","free/reduced","none",41,45,40
"809",809,"male","group C","high school","standard","none",90,75,69
"810",810,"male","group B","bachelor's degree","standard","none",59,54,51
"811",811,"male","group A","some high school","standard","none",51,31,36
"812",812,"male","group A","high school","free/reduced","none",45,47,49
"813",813,"female","group C","master's degree","standard","completed",54,64,67
"814",814,"male","group E","some high school","standard","completed",87,84,76
"815",815,"female","group C","high school","standard","none",72,80,83
"816",816,"male","group B","some high school","standard","completed",94,86,87
"817",817,"female","group A","bachelor's degree","standard","none",45,59,64
"818",818,"male","group D","bachelor's degree","free/reduced","completed",61,70,76
"819",819,"female","group B","high school","free/reduced","none",60,72,68
"820",820,"female","group C","some high school","standard","none",77,91,88
"821",821,"female","group A","some high school","standard","completed",85,90,92
"822",822,"female","group D","bachelor's degree","free/reduced","none",78,90,93
"823",823,"male","group E","some college","free/reduced","completed",49,52,51
"824",824,"female","group B","high school","free/reduced","none",71,87,82
"825",825,"female","group C","some high school","free/reduced","none",48,58,52
"826",826,"male","group C","high school","standard","none",62,67,58
"827",827,"female","group C","associate's degree","free/reduced","completed",56,68,70
"828",828,"female","group C","some high school","standard","none",65,69,76
"829",829,"female","group D","some high school","free/reduced","completed",69,86,81
"830",830,"male","group B","some high school","standard","none",68,54,53
"831",831,"female","group A","some college","free/reduced","none",61,60,57
"832",832,"female","group C","bachelor's degree","free/reduced","completed",74,86,89
"833",833,"male","group A","bachelor's degree","standard","none",64,60,58
"834",834,"female","group B","high school","standard","completed",77,82,89
"835",835,"male","group B","some college","standard","none",58,50,45
"836",836,"female","group C","high school","standard","completed",60,64,74
"837",837,"male","group E","high school","standard","none",73,64,57
"838",838,"female","group A","high school","standard","completed",75,82,79
"839",839,"male","group B","associate's degree","free/reduced","completed",58,57,53
"840",840,"female","group C","associate's degree","standard","none",66,77,73
"841",841,"female","group D","high school","free/reduced","none",39,52,46
"842",842,"male","group C","some high school","standard","none",64,58,51
"843",843,"female","group B","high school","free/reduced","completed",23,44,36
"844",844,"male","group B","some college","free/reduced","completed",74,77,76
"845",845,"female","group D","some high school","free/reduced","completed",40,65,64
"846",846,"male","group E","master's degree","standard","none",90,85,84
"847",847,"male","group C","master's degree","standard","completed",91,85,85
"848",848,"male","group D","high school","standard","none",64,54,50
"849",849,"female","group C","high school","standard","none",59,72,68
"850",850,"male","group D","associate's degree","standard","none",80,75,69
"851",851,"male","group C","master's degree","standard","none",71,67,67
"852",852,"female","group A","high school","standard","none",61,68,63
"853",853,"female","group E","some college","standard","none",87,85,93
"854",854,"male","group E","some high school","standard","none",82,67,61
"855",855,"male","group C","some high school","standard","none",62,64,55
"856",856,"female","group B","bachelor's degree","standard","none",97,97,96
"857",857,"male","group B","some college","free/reduced","none",75,68,65
"858",858,"female","group C","bachelor's degree","standard","none",65,79,81
"859",859,"male","group B","high school","standard","completed",52,49,46
"860",860,"male","group C","associate's degree","free/reduced","none",87,73,72
"861",861,"female","group C","associate's degree","standard","none",53,62,53
"862",862,"female","group E","master's degree","free/reduced","none",81,86,87
"863",863,"male","group D","bachelor's degree","free/reduced","completed",39,42,38
"864",864,"female","group C","some college","standard","completed",71,71,80
"865",865,"male","group C","associate's degree","standard","none",97,93,91
"866",866,"male","group D","some college","standard","completed",82,82,88
"867",867,"male","group C","high school","free/reduced","none",59,53,52
"868",868,"male","group B","associate's degree","standard","none",61,42,41
"869",869,"male","group E","associate's degree","free/reduced","completed",78,74,72
"870",870,"male","group C","associate's degree","free/reduced","none",49,51,51
"871",871,"male","group B","high school","standard","none",59,58,47
"872",872,"female","group C","some college","standard","completed",70,72,76
"873",873,"male","group B","associate's degree","standard","completed",82,84,78
"874",874,"male","group E","associate's degree","free/reduced","none",90,90,82
"875",875,"female","group C","bachelor's degree","free/reduced","none",43,62,61
"876",876,"male","group C","some college","free/reduced","none",80,64,66
"877",877,"male","group D","some college","standard","none",81,82,84
"878",878,"male","group C","some high school","standard","none",57,61,54
"879",879,"female","group D","some high school","standard","none",59,72,80
"880",880,"female","group D","associate's degree","standard","none",64,76,74
"881",881,"male","group C","bachelor's degree","standard","completed",63,64,66
"882",882,"female","group E","bachelor's degree","standard","completed",71,70,70
"883",883,"female","group B","high school","free/reduced","none",64,73,71
"884",884,"male","group D","bachelor's degree","free/reduced","none",55,46,44
"885",885,"female","group E","associate's degree","standard","none",51,51,54
"886",886,"female","group C","associate's degree","standard","completed",62,76,80
"887",887,"female","group E","associate's degree","standard","completed",93,100,95
"888",888,"male","group C","high school","free/reduced","none",54,72,59
"889",889,"female","group D","some college","free/reduced","none",69,65,74
"890",890,"male","group D","high school","free/reduced","none",44,51,48
"891",891,"female","group E","some college","standard","completed",86,85,91
"892",892,"female","group E","associate's degree","standard","none",85,92,85
"893",893,"female","group A","master's degree","free/reduced","none",50,67,73
"894",894,"male","group D","some high school","standard","completed",88,74,75
"895",895,"female","group E","associate's degree","standard","none",59,62,69
"896",896,"female","group E","some high school","free/reduced","none",32,34,38
"897",897,"male","group B","high school","free/reduced","none",36,29,27
"898",898,"female","group B","some high school","free/reduced","completed",63,78,79
"899",899,"male","group D","associate's degree","standard","completed",67,54,63
"900",900,"female","group D","some high school","standard","completed",65,78,82
"901",901,"male","group D","master's degree","standard","none",85,84,89
"902",902,"female","group C","master's degree","standard","none",73,78,74
"903",903,"female","group A","high school","free/reduced","completed",34,48,41
"904",904,"female","group D","bachelor's degree","free/reduced","completed",93,100,100
"905",905,"female","group D","some high school","free/reduced","none",67,84,84
"906",906,"male","group D","some college","standard","none",88,77,77
"907",907,"male","group B","high school","standard","none",57,48,51
"908",908,"female","group D","some college","standard","completed",79,84,91
"909",909,"female","group C","bachelor's degree","free/reduced","none",67,75,72
"910",910,"male","group E","bachelor's degree","standard","completed",70,64,70
"911",911,"male","group D","bachelor's degree","free/reduced","none",50,42,48
"912",912,"female","group A","some college","standard","none",69,84,82
"913",913,"female","group C","bachelor's degree","standard","completed",52,61,66
"914",914,"female","group C","bachelor's degree","free/reduced","completed",47,62,66
"915",915,"female","group B","associate's degree","free/reduced","none",46,61,55
"916",916,"female","group E","some college","standard","none",68,70,66
"917",917,"male","group E","bachelor's degree","standard","completed",100,100,100
"918",918,"female","group C","high school","standard","none",44,61,52
"919",919,"female","group C","associate's degree","standard","completed",57,77,80
"920",920,"male","group B","some college","standard","completed",91,96,91
"921",921,"male","group D","high school","free/reduced","none",69,70,67
"922",922,"female","group C","high school","free/reduced","none",35,53,46
"923",923,"male","group D","high school","standard","none",72,66,66
"924",924,"female","group B","associate's degree","free/reduced","none",54,65,65
"925",925,"male","group D","high school","free/reduced","none",74,70,69
"926",926,"male","group E","some high school","standard","completed",74,64,60
"927",927,"male","group E","associate's degree","free/reduced","none",64,56,52
"928",928,"female","group D","high school","free/reduced","completed",65,61,71
"929",929,"male","group E","associate's degree","free/reduced","completed",46,43,44
"930",930,"female","group C","some high school","free/reduced","none",48,56,51
"931",931,"male","group C","some college","free/reduced","completed",67,74,70
"932",932,"male","group D","some college","free/reduced","none",62,57,62
"933",933,"male","group D","associate's degree","free/reduced","completed",61,71,73
"934",934,"male","group C","bachelor's degree","free/reduced","completed",70,75,74
"935",935,"male","group C","associate's degree","standard","completed",98,87,90
"936",936,"male","group D","some college","free/reduced","none",70,63,58
"937",937,"male","group A","associate's degree","standard","none",67,57,53
"938",938,"female","group E","high school","free/reduced","none",57,58,57
"939",939,"male","group D","some college","standard","completed",85,81,85
"940",940,"male","group D","some high school","standard","completed",77,68,69
"941",941,"male","group C","master's degree","free/reduced","completed",72,66,72
"942",942,"female","group D","master's degree","standard","none",78,91,96
"943",943,"male","group C","high school","standard","none",81,66,64
"944",944,"male","group A","some high school","free/reduced","completed",61,62,61
"945",945,"female","group B","high school","standard","none",58,68,61
"946",946,"female","group C","associate's degree","standard","none",54,61,58
"947",947,"male","group B","high school","standard","none",82,82,80
"948",948,"female","group D","some college","free/reduced","none",49,58,60
"949",949,"male","group B","some high school","free/reduced","completed",49,50,52
"950",950,"female","group E","high school","free/reduced","completed",57,75,73
"951",951,"male","group E","high school","standard","none",94,73,71
"952",952,"female","group D","some college","standard","completed",75,77,83
"953",953,"female","group E","some high school","free/reduced","none",74,74,72
"954",954,"male","group C","high school","standard","completed",58,52,54
"955",955,"female","group C","some college","standard","none",62,69,69
"956",956,"male","group E","associate's degree","standard","none",72,57,62
"957",957,"male","group C","some college","standard","none",84,87,81
"958",958,"female","group D","master's degree","standard","none",92,100,100
"959",959,"female","group D","high school","standard","none",45,63,59
"960",960,"male","group C","high school","standard","none",75,81,71
"961",961,"female","group A","some college","standard","none",56,58,64
"962",962,"female","group D","some high school","free/reduced","none",48,54,53
"963",963,"female","group E","associate's degree","standard","none",100,100,100
"964",964,"female","group C","some high school","free/reduced","completed",65,76,75
"965",965,"male","group D","some college","standard","none",72,57,58
"966",966,"female","group D","some college","standard","none",62,70,72
"967",967,"male","group A","some high school","standard","completed",66,68,64
"968",968,"male","group C","some college","standard","none",63,63,60
"969",969,"female","group E","associate's degree","standard","none",68,76,67
"970",970,"female","group B","bachelor's degree","standard","none",75,84,80
"971",971,"female","group D","bachelor's degree","standard","none",89,100,100
"972",972,"male","group C","some high school","standard","completed",78,72,69
"973",973,"female","group A","high school","free/reduced","completed",53,50,60
"974",974,"female","group D","some college","free/reduced","none",49,65,61
"975",975,"female","group A","some college","standard","none",54,63,67
"976",976,"female","group C","some college","standard","completed",64,82,77
"977",977,"male","group B","some college","free/reduced","completed",60,62,60
"978",978,"male","group C","associate's degree","standard","none",62,65,58
"979",979,"male","group D","high school","standard","completed",55,41,48
"980",980,"female","group C","associate's degree","standard","none",91,95,94
"981",981,"female","group B","high school","free/reduced","none",8,24,23
"982",982,"male","group D","some high school","standard","none",81,78,78
"983",983,"male","group B","some high school","standard","completed",79,85,86
"984",984,"female","group A","some college","standard","completed",78,87,91
"985",985,"female","group C","some high school","standard","none",74,75,82
"986",986,"male","group A","high school","standard","none",57,51,54
"987",987,"female","group C","associate's degree","standard","none",40,59,51
"988",988,"male","group E","some high school","standard","completed",81,75,76
"989",989,"female","group A","some high school","free/reduced","none",44,45,45
"990",990,"female","group D","some college","free/reduced","completed",67,86,83
"991",991,"male","group E","high school","free/reduced","completed",86,81,75
"992",992,"female","group B","some high school","standard","completed",65,82,78
"993",993,"female","group D","associate's degree","free/reduced","none",55,76,76
"994",994,"female","group D","bachelor's degree","free/reduced","none",62,72,74
